,zip_code,latitude,longitude
512,61052,42.108224,-88.99812800000002
513,61053,42.093181,-89.968127
514,61054,42.058183,-89.352968
515,61057,41.831577,-89.38956999999998
516,61058,41.797256,-89.599529
517,61059,42.463658,-89.941363
518,61060,42.473576,-89.60519000000002
519,61061,42.011025,-89.253887
520,61062,42.33270200000001,-89.782606
521,61063,42.3104,-89.311162
522,61064,41.989578,-89.323812
523,61065,42.392537,-88.811894
524,61067,42.334675,-89.559845
525,61068,42.007405,-89.100359
526,61070,42.418515,-89.470711
527,61071,41.687083,-89.728269
528,61072,42.381926,-89.14285600000002
529,61073,42.416908,-89.000227
530,61074,42.077282,-90.005039
531,61075,42.452479,-90.26684
532,61076,42.355422,-89.667939
533,61077,42.236834,-89.357998
534,61078,42.154795,-89.764627
535,61079,42.325364,-89.170527
536,61080,42.38648,-89.090975
537,61081,41.835669,-89.745941
538,61084,42.1133,-89.18627099999998
539,61085,42.349517,-90.085356
540,61087,42.470405,-90.087359
541,61088,42.347321,-89.194327
542,61089,42.460658,-89.814639
543,61091,41.903068,-89.54036500000002
544,61101,42.33342,-89.157198
545,61102,42.22974,-89.155825
546,61103,42.341983,-89.078829
547,61104,42.25012,-89.08025400000002
548,61105,42.325364,-89.170527
549,61106,42.325364,-89.170527
550,61107,42.284055,-89.01621
551,61108,42.247643,-88.999892
552,61109,42.196681,-89.065539
553,61110,42.325364,-89.170527
554,61111,42.341767,-89.004716
555,61112,42.246231,-88.97516999999998
556,61114,42.318492,-88.997248
557,61115,42.354546,-89.039675
558,61125,42.325364,-89.170527
559,61126,42.325364,-89.170527
560,61130,42.325364,-89.170527
561,61131,42.325364,-89.170527
562,61132,42.325364,-89.170527
563,61201,41.495083,-90.604899
564,61204,41.554901,-90.615975
565,61230,41.729562,-90.159676
566,61231,41.197762,-90.730944
567,61232,41.440131,-90.742806
568,61233,41.295367,-90.290476
569,61234,41.425519,-89.92463599999998
570,61235,41.405502,-89.998274
571,61236,41.51469,-90.357727
572,61237,41.336752,-90.852226
573,61238,41.285666,-90.104144
574,61239,41.495034,-90.393778
575,61240,41.401019,-90.575785
576,61241,41.437419,-90.166719
577,61242,41.702549,-90.27691
578,61243,41.620757,-89.710301
579,61244,41.562693,-90.512483
580,61250,41.667507,-90.098292
581,61251,41.737836,-90.078132
582,61252,41.79088,-90.112432
583,61254,41.437746,-90.158163
584,61256,41.527582,-90.446341
585,61257,41.50177100000001,-90.606468
586,61258,41.522044,-89.91216
587,61259,41.384813,-90.835558
588,61260,41.237259,-90.688648
589,61261,41.73562,-89.910699
590,61262,41.285461,-90.319658
591,61263,41.259938,-90.612757
592,61264,41.420305,-90.595736
593,61265,41.529431,-90.528972
594,61266,41.554901,-90.615975
595,61270,41.781381,-90.002217
596,61272,41.238072,-90.987063
597,61273,41.36211,-90.376529
598,61274,41.371081,-90.194276
599,61275,41.545132,-90.41449
600,61276,41.299563,-90.586643
601,61277,41.654462,-89.92441099999998
602,61278,41.585883,-90.343228
603,61279,41.472195,-90.595329
604,61281,41.280317,-90.520183
605,61282,41.560381,-90.51753
606,61283,41.637929,-89.75676899999998
607,61284,41.391078,-90.714746
608,61285,41.986802,-89.917167
609,61299,41.520333,-90.541585
610,61301,41.365092,-89.0866
611,61310,41.721016,-89.29967099999998
612,61311,41.042631,-88.864211
613,61312,41.43043,-89.24000600000002
614,61313,41.063241,-88.680876
615,61314,41.306814,-89.653036
616,61315,41.289394,-89.368617
617,61316,41.26171400000001,-89.123735
618,61317,41.426433,-89.212609
619,61318,41.713223,-89.09145799999997
620,61319,41.03103,-88.766797
621,61320,41.366748,-89.479804
622,61321,40.999418,-88.989269
623,61322,41.309194,-89.325221
624,61323,41.436173,-89.396006
625,61324,41.771078,-89.41228199999998
626,61325,41.237122,-88.817458
627,61326,41.250055,-89.24284
628,61327,41.252096,-89.33800500000002
629,61328,41.366883,-89.513065
630,61329,41.37951,-89.203827
631,61330,41.454193,-89.44844499999998
632,61331,41.74885,-89.282726
633,61332,41.148788,-89.00913100000002
634,61333,40.98011500000001,-88.873628
635,61334,41.14820200000001,-89.076145
636,61335,41.14604600000001,-89.225915
637,61336,41.213097,-89.314316
638,61337,41.42231500000001,-89.33546700000002
639,61338,41.455508,-89.669712
640,61340,41.265997,-89.249143
641,61341,41.212787,-88.833689
642,61342,41.385519,-89.051012
643,61344,41.379654,-89.82836800000003
644,61345,41.338444,-89.796313
645,61346,41.512158,-89.719934
646,61348,41.225813,-89.040428
647,61349,41.459337,-89.596261
648,61350,41.248925,-88.833337
649,61353,41.69376,-88.995749
650,61354,41.326408,-89.08578
651,61356,41.424736,-89.452044
652,61358,40.985846,-88.989048
653,61359,41.361251,-89.269125
654,61360,41.221524,-88.835029
655,61361,41.404427,-89.530149
656,61362,41.423455,-89.50679699999998
657,61363,41.256668,-89.17784
658,61364,41.164177,-88.85632
659,61367,41.628086,-89.27435600000003
660,61368,41.248455,-89.521465
661,61369,41.006568,-89.134078
662,61370,41.222005,-88.989972
663,61371,41.499089,-89.02188100000002
664,61372,41.451786,-89.070516
665,61373,41.411759,-89.008197
666,61374,41.366883,-89.513065
667,61375,41.033886,-89.255983
668,61376,41.453979,-89.478453
669,61377,41.029236,-89.134955
670,61378,41.722648,-89.193026
671,61379,41.442109,-89.44646
672,61401,40.964613,-90.213654
673,61402,40.932207,-90.214412
674,61410,40.927973,-90.304039
675,61411,40.387329,-90.506582
676,61412,41.136994,-90.631224
677,61413,41.20188,-90.245619
678,61414,41.096307,-90.138335
679,61415,40.608139,-90.362984
680,61416,40.497896,-90.508816
681,61417,40.769783,-90.534172
682,61418,40.853583,-90.864536
683,61419,41.197682,-90.118344
684,61420,40.547789,-90.762736
685,61421,41.176471,-89.65778900000002
